code,year,habitatloss,co2emission
SLV,2015,2388.834197,1031945.069
SMR,2015,0.1672727961,46.34540362
SOM,2015,65.91837288,11170.6739
SRB,2015,2815.440175,1363041.386
SSD,2015,2459.852673,917673.9553
SUR,2015,11921.19553,8869428.494
SVK,2015,5282.688761,2701902.731
SVN,2015,1024.527525,579320.2903
SWE,2015,216031.2398,55627868.18
SWZ,2015,3215.781354,1482706.82
SYR,2015,2393.171169,564578.7728
TCA,2015,21.25021906,5812.487885
TCD,2015,2591.368461,757444.5023
TGO,2015,940.2958102,460274.8093
THA,2015,120807.656,68922998.36
TLS,2015,862.9100053,405753.7169
TTO,2015,668.193641,377111.2516
TUN,2015,1880.022717,583917.9155
TUR,2015,27735.28448,8072728.691
TWN,2015,942.6410426,424610.0761
TZA,2015,111961.2955,37946763.44
UGA,2015,54021.49584,23652786.22
UKR,2015,48913.50216,19538813.21
URY,2015,17547.92121,24302673.36
USA,2015,2289649.128,792274573.8
VCT,2015,1.723567254,957.0388673
VEN,2015,61435.84378,28093832.16
VIR,2015,0.292475154,136.2560975
VNM,2015,217883.2096,144419546.6
VUT,2015,3476.160228,1930958.183
XAD,2015,5.275077679,2063.894023
XKO,2015,470.7798667,248900.9396
XNC,2015,15.28249083,3907.089863
ZAF,2015,70156.99448,44452989.31
ZMB,2015,87590.81871,32376743.18
ZWE,2015,12261.73876,4931299.498
AGO,2016,229710.4874,81085688.55
ALA,2016,672.6592338,199470.9091
ALB,2016,928.4496223,350439.6034
AND,2016,0.6275108286,280.7917572
ARG,2016,230189.4211,60923810.79
ARM,2016,30.04757964,11398.63527
ATG,2016,14.42539974,3740.987619
AUS,2016,430902.9031,137105386
AUT,2016,17210.29319,9247964.909
AZE,2016,25.47520987,9911.024295
BDI,2016,1575.87445,730964.3508
BEL,2016,4512.342534,2479854.295
BEN,2016,2015.977818,1088800.676
BFA,2016,0,1171.578793
BGD,2016,21196.22802,10995113.96
BGR,2016,7394.538858,3453194.126
BHS,2016,3136.084655,831922.6769
BIH,2016,2307.979526,1292544.742
BLR,2016,90486.83569,32958633.28
BLZ,2016,20510.70581,10161464.39
BOL,2016,470600.8214,211196533.3
BRA,2016,5378844.035,3203364019
BRB,2016,14.31625899,4720.532944
BRN,2016,2572.584128,1580642.799
BTN,2016,1962.952323,1089402.914
BWA,2016,0.7276476864,193.526697
CAF,2016,51151.99412,28385623.61
CAN,2016,2084423.183,427002593.8
CHE,2016,1678.990099,910964.3483
CHL,2016,113904.3938,51151068.38
CHN,2016,718689.1052,316938290.1
CIV,2016,221099.8113,114968944.4
CMR,2016,116619.23,71587812.22
COD,2016,1381278.349,880547717.5
COG,2016,114303.4895,72729237.4
COL,2016,290956.3058,165597044.8
COM,2016,124.3647881,58502.35771
CRI,2016,13791.39424,7554845.281
CUB,2016,74052.69806,39676397.95
CUW,2016,2.40785431,1051.174872
CYM,2016,70.06050036,18348.37233
CYP,2016,568.9153941,102873.1047
CZE,2016,22808.49165,12048922.12
DEU,2016,26877.0592,14213751.41
DMA,2016,7.123976756,3779.233342
DNK,2016,4656.34052,1615601.737
DOM,2016,24907.40484,11548799.75
DZA,2016,8011.483779,2553452.632
ECU,2016,44042.95668,29430541.87
EGY,2016,36.72802966,7634.216242
ESP,2016,107562.3649,43019767.36
EST,2016,36334.86698,11385143.56
ETH,2016,19581.64311,8270983.015
FIN,2016,240428.3853,51797040.59
FJI,2016,8372.994077,4931016.29
FRA,2016,60768.46951,29713261.51
GAB,2016,32150.61792,20845862.64
GBR,2016,28808.24699,12781424
GEO,2016,523.4219911,215325.397
GHA,2016,119244.5618,64200608.59
GIN,2016,216012.2655,93328030.91
GLP,2016,70.02423404,26488.16197
GMB,2016,5.170541242,1536.743
GNB,2016,16120.14553,6606571.149
GNQ,2016,9544.934007,6281121.63
GRC,2016,6034.199903,1450309.244
GRD,2016,59.44976266,32723.69982
GTM,2016,178396.804,88233970.28
GUF,2016,6127.211342,4531880.84
GUY,2016,26512.13671,16483691.94
HKG,2016,43.04229534,17637.90811
HND,2016,188442.8673,88740370.65
HRV,2016,5372.963121,2537829.111
HTI,2016,17267.08006,8697748.066
